lat_deg,f00_off_log2,f00_on_log2,f00_off_dev,f00_on_dev,f32_off_log2,f32_on_log2,f32_off_dev,f32_on_dev,f64_off_log2,f64_on_log2,f64_off_dev,f64_on_dev
6.899,-3.19402,-3.18298,-0.02956,-0.01147,-3.18825,-3.17188,-0.00769,0.00887,-3.17489,-3.18473,-0.00619,0.00072
6.812,-3.19124,-3.17502,-0.02602,-0.00270,-3.18951,-3.16836,-0.00820,0.01316,-3.18090,-3.18580,-0.01145,0.00042
6.724,-3.18724,-3.16561,-0.02125,0.00751,-3.19239,-3.16619,-0.01033,0.01611,-3.19096,-3.19064,-0.02075,-0.00364
6.636,-3.18817,-3.16024,-0.02142,0.01369,-3.20072,-3.16847,-0.01791,0.01461,-3.19848,-3.19213,-0.02751,-0.00435
6.548,-3.19294,-3.15864,-0.02544,0.01609,-3.20971,-3.17133,-0.02615,0.01252,-3.20491,-3.19250,-0.03317,-0.00394
6.460,-3.20229,-3.16149,-0.03401,0.01405,-3.21717,-3.17265,-0.03286,0.01197,-3.20737,-3.18896,-0.03488,0.00039
6.372,-3.21144,-3.16411,-0.04240,0.01224,-3.22358,-3.17291,-0.03851,0.01250,-3.20821,-3.18384,-0.03495,0.00629
6.284,-3.21973,-3.16583,-0.04991,0.01132,-3.22661,-3.16983,-0.04079,0.01635,-3.20858,-3.17827,-0.03455,0.01264
6.196,-3.22758,-3.16698,-0.05700,0.01099,-3.23014,-3.16694,-0.04356,0.02002,-3.20891,-3.17241,-0.03412,0.01929
6.108,-3.23473,-3.16729,-0.06338,0.01149,-3.23707,-3.16704,-0.04973,0.02071,-3.21627,-3.17307,-0.04071,0.01942
6.021,-3.24003,-3.16579,-0.06790,0.01380,-3.24516,-3.16822,-0.05706,0.02032,-3.22294,-3.17303,-0.04660,0.02024
5.933,-3.24218,-3.16129,-0.06927,0.01912,-3.25141,-3.16760,-0.06255,0.02172,-3.23202,-3.17527,-0.05491,0.01880
5.845,-3.24391,-3.15639,-0.07022,0.02483,-3.25389,-3.16338,-0.06426,0.02673,-3.24016,-3.17656,-0.06227,0.01830
5.757,-3.24886,-3.15456,-0.07439,0.02748,-3.25545,-3.15832,-0.06506,0.03258,-3.24594,-3.17558,-0.06727,0.02007
5.669,-3.25298,-3.15195,-0.07773,0.03091,-3.25890,-3.15516,-0.06775,0.03652,-3.25093,-3.17370,-0.07149,0.02273
5.581,-3.25548,-3.14784,-0.07945,0.03584,-3.26781,-3.15714,-0.07589,0.03533,-3.25517,-3.17108,-0.07494,0.02615
5.493,-3.26126,-3.14678,-0.08444,0.03772,-3.27946,-3.16162,-0.08677,0.03164,-3.26176,-3.17064,-0.08075,0.02738
5.405,-3.27092,-3.14929,-0.09332,0.03603,-3.29002,-3.16502,-0.09656,0.02904,-3.26563,-3.16765,-0.08383,0.03117
5.317,-3.28196,-3.15302,-0.10356,0.03312,-3.29696,-3.16499,-0.10272,0.02985,-3.27111,-3.16615,-0.08853,0.03347
5.229,-3.28969,-3.15373,-0.11050,0.03323,-3.30041,-3.16189,-0.10540,0.03375,-3.27429,-3.16265,-0.09092,0.03777
5.142,-3.29207,-3.14991,-0.11209,0.03789,-3.30296,-3.15860,-0.10717,0.03783,-3.27878,-3.16089,-0.09461,0.04032
5.054,-3.29337,-3.14513,-0.11260,0.04349,-3.30668,-3.15642,-0.11012,0.04082,-3.28399,-3.15983,-0.09903,0.04219
4.966,-3.29824,-3.14360,-0.11666,0.04585,-3.30811,-3.15214,-0.11077,0.04589,-3.29318,-3.16234,-0.10743,0.04047
4.878,-3.30742,-3.14594,-0.12505,0.04434,-3.31257,-3.15059,-0.11445,0.04824,-3.30105,-3.16360,-0.11451,0.04001
4.790,-3.31611,-3.14778,-0.13293,0.04332,-3.31768,-3.14961,-0.11878,0.05002,-3.30453,-3.16090,-0.11719,0.04352
4.702,-3.32398,-3.14950,-0.14000,0.04244,-3.32258,-3.14907,-0.12290,0.05136,-3.30985,-3.16067,-0.12171,0.04455
4.614,-3.33097,-3.15119,-0.14620,0.04158,-3.33204,-3.15338,-0.13157,0.04785,-3.31548,-3.16174,-0.12654,0.04428
4.526,-3.33610,-3.15127,-0.15052,0.04234,-3.33819,-3.15481,-0.13694,0.04722,-3.32016,-3.16202,-0.13042,0.04481
4.438,-3.34073,-3.15105,-0.15434,0.04339,-3.34417,-3.15627,-0.14213,0.04657,-3.32580,-3.16330,-0.13526,0.04434
4.351,-3.34533,-3.15080,-0.15813,0.04448,-3.35109,-3.15854,-0.14826,0.04511,-3.32997,-3.16325,-0.13862,0.04520
4.263,-3.34870,-3.14952,-0.16070,0.04660,-3.35784,-3.16068,-0.15423,0.04377,-3.33131,-3.16075,-0.13915,0.04850
